COC1=CN(N=C(C1=O)c2ccnn2C)c3ccccc3	CHEMBL3814288	pIC50=5.62
NCCCOP(=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O	CHEMBL297235	pKd=5.95
O[C@@H]1[C@H](O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O	CHEMBL23050	pIC50=6.21
O[C@@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O	CHEMBL282059	pIC50=6.37
O[C@@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O	CHEMBL279107	pKd=6.71
O[C@@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)OCCCNC(=O)Oc2ccc3c(Oc4cc(O)ccc4C35OC(=O)c6ccccc56)c2	CHEMBL46273	pKd=6.73
C[C@]1(OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)[C@H](O)[C@@H](O)[C@@H]1OP(=O)(O)O	CHEMBL281132	pIC50=7.36
O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	CHEMBL283791	pIC50=8.22
O[C@H]1[C@H](OP(=O)(O)O)[C@H](O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O	CHEMBL23552	pIC50=8.54
[Cl-].CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)C(=O)NCCCOP(=O)(O)O[C@@H]4[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]4O	CHEMBL297496	pKd=8.93
