C[C@H]1CN(CCN1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3698645	pIC50=7.71
C1CCC(C1)n2c3cnccc3c4cnc(Nc5ccc(cn5)N6CCC(CC6)NC7CCC7)nc24	CHEMBL3642023	pIC50=7.72
CNC1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCC6)c4n3)nn2	CHEMBL3641990	pIC50=7.72
CN(CC(=O)O)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2	CHEMBL3642026	pIC50=7.75
OC1CCN(CC1)C2CCN(CC2)c3ccc(Nc4ncc5c6ccncc6n(C7CCCC7)c5n4)nc3	CHEMBL3642018	pIC50=7.75
O[C@@H]1CCCN(C1)C2CCN(CC2)c3ccc(Nc4ncc5c6ccncc6n(C7CCCC7)c5n4)nn3	CHEMBL3642007	pIC50=7.75
C1CN(CCN1)c2ccc(Nc3cc4c(cn3)c5ccncc5n4C6CCSC6)nc2	CHEMBL3702141	pIC50=7.77
CN(C)CCN(C)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3642034	pIC50=7.77
Fc1nccc2c3cnc(Nc4ccc(cn4)N5CCNCC5)nc3n(C6CCCC6)c12	CHEMBL3237443	pIC50=7.77
O[C@H]1CCN(Cc2csc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)n2)C1	CHEMBL3702072	pIC50=7.77
Oc1cc(ccn1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3702166	pIC50=7.78
OCCNc1ccc(Nc2ncc3c4ccncc4n(C5CCCC5)c3n2)nn1	CHEMBL3702192	pIC50=7.79
C1CC(C1)n2c3cnccc3c4cnc(Nc5ccc(nn5)N6CCNCC6)nc24	CHEMBL3702246	pIC50=7.8
CCC(CC)n1c2cnccc2c3cnc(Nc4ccc(cn4)N5CCNCC5)nc13	CHEMBL3702068	pIC50=7.8
CCC(CC)n1c2cnccc2c3cnc(Nc4ccc(nn4)N5CCC(CC5)N(C)C)nc13	CHEMBL3702070	pIC50=7.8
CN(C)C1CCN(CC1)C(=O)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2	CHEMBL3702132	pIC50=7.8
CN(C)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCC6)c4n3)nc2	CHEMBL3702241	pIC50=7.8
CNCCN(C)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3641999	pIC50=7.8
COCCN1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3702051	pIC50=7.8
COc1ccc2c3cnc(Nc4ccc(cn4)N5CCNCC5)nc3n(C6CCCC6)c2n1	CHEMBL3702087	pIC50=7.8
C[C@@H](O)CNc1ccc(Nc2ncc3c4ccncc4n(C5CCCC5)c3n2)nn1	CHEMBL3702193	pIC50=7.8
Fc1nccc2c3cnc(Nc4ccc(cn4)C5=CCS(=O)(=O)CC5)nc3n(C6CCCC6)c12	CHEMBL3702173	pIC50=7.8
N[C@H]1CCN(C1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3698738	pIC50=7.8
O=S1(=O)CCC(C1)Nc2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3698723	pIC50=7.8
O[C@H]1CCN(C1)C2CCN(CC2)c3ccc(Nc4ncc5c6ccncc6n(C7CCCC7)c5n4)nn3	CHEMBL3642006	pIC50=7.8
C1CCC(C1)n2c3cnccc3c4cnc(Nc5ccc(N[C@H]6CCNC6)nn5)nc24	CHEMBL3698722	pIC50=7.82
C1CN(CCN1)c2ccc(Nc3ncc4c5ccccc5n(C6CCOCC6)c4n3)nc2	CHEMBL3698673	pIC50=7.82
CNC1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCC6)c4n3)nc2	CHEMBL3702245	pIC50=7.82
OC1CCCN(Cc2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2)C1	CHEMBL3702118	pIC50=7.82
CCC(C)(C)n1c2cnccc2c3cnc(Nc4ccc(nn4)N5CCC(CC5)N(C)C)nc13	CHEMBL3702063	pIC50=7.85
CCCNC1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2	CHEMBL3642021	pIC50=7.85
CN(CCO)C1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3641996	pIC50=7.85
C[C@@H](CO)Nc1ccc(Nc2ncc3c4ccncc4n(C5CCCC5)c3n2)nn1	CHEMBL3702196	pIC50=7.85
C[C@H](O)CNC1CCN(CC1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nc2	CHEMBL3642015	pIC50=7.85
O[C@@H]1CCCN(C1)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3698734	pIC50=7.85
N#Cc1nccc2c3cnc(Nc4ccc(cn4)N5CCNCC5)nc3n(C6CCCC6)c12	CHEMBL3237447	pIC50=7.87
C1CCC(CC1)n2c3cnccc3c4cnc(Nc5ccc(cn5)N6CCNCC6)nc24	CHEMBL3237451	pIC50=7.88
CN(C)C1CN(CCC1O)c2ccc(Nc3ncc4c5ccncc5n(C6CCCC6)c4n3)nn2	CHEMBL3642038	pIC50=7.88
C1CCC(C1)n2c3nnccc3c4cnc(Nc5ccc(cn5)N6CCNCC6)nc24	CHEMBL3237448	pIC50=7.89
