[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(N)=O	vasopressin	pKi=9.31	pKi=9.31	pKi=9.31
[H]N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)C(=O)NCC(N)=O	lypressin
CC[C@@H](C)[C@H]1NC(=O)[C@@H](NC(=O)C(O)CSSC[C@@H](NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](NC1=O)C(C)O)C(=O)N2CCC[C@@H]2C(=O)N[C@@H](CCCCNC(=O)c3ccc4C(=O)OC5(c6ccc(O)cc6Oc7cc(O)ccc57)c4c3)C(=O)NCN)c8ccc(O)cc8	CHEMBL1790729	pKi=7.28
COc1cccc(c1)C2=Nc3ccc(cc3C(=O)N2CC(=O)NC(C)C)c4cc(CN(C)C)ccn4	CHEMBL1778955	pIC50=7.28
CCCNC(=O)CN1C(=O)c2cc(OCCCN3CCCCC3)ccc2N=C1c4cccc(Cl)c4	CHEMBL1684570	pIC50=7.31
COc1cccc(c1)C2=Nc3ccc(cc3C(=O)N2CC(=O)NC(C)C)c4cccc(CN5CCC5)c4	CHEMBL1778949	pIC50=7.34
Clc1cccc(c1)C2=Nc3ccc(OCCCN4CCCCC4)cc3C(=O)N2CC(=O)NC5CC5	CHEMBL1684572	pIC50=7.34
Br.COc1ccc(c(OC)c1)S(=O)(=O)N2C(CCS(=O)(=O)N3CCC(CC3)NCC4CCCCC4)CCc5ccccc25	CHEMBL1204126	pKi=7.36
CCOc1ccc(C[C@H]2NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CCCN)C(=O)NCC(=O)N)cc1	CHEMBL382301	pKi=7.36
CCCNC(=O)CN1C(=O)c2cc(OCCCN3CCOCC3)ccc2N=C1c4cccc(OC)c4	CHEMBL1684557	pIC50=7.38
COc1cccc(c1)C2=Nc3ccc(cc3C(=O)N2CC(=O)NC(C)C)c4cccc(CN(C)C)n4	CHEMBL1778957	pIC50=7.43
COc1ccc(c(OC)c1)S(=O)(=O)N2C(CCS(=O)(=O)N3CCC(CC3)NCCC(C)C)CCc4ccccc24	CHEMBL575796	pKi=7.46
COc1cccc(c1)C2=Nc3ccc(OCCCN4CCOCC4)cc3C(=O)N2CC(=O)NC5CC5	CHEMBL1684559	pIC50=7.47
COc1ccc(cn1)N(Cc2ccc(cn2)c3ccccc3C)S(=O)(=O)c4cn(C)c(C)n4	CHEMBL456263	pKi=7.5
Clc1cccc(c1)C2=Nc3ccc(OCCCN4CCOCC4)cc3C(=O)N2CC(=O)NCC5CC5	CHEMBL1684409	pIC50=7.52
CN(C)c1ccc2c(Oc3cc(ccc3C24OC(=O)c5cc(ccc45)C(=O)N([C@@H](CCCCN)C(=O)N)C(=O)[C@@H]6CCCN6C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc7ccccc7)NC(=O)[C@@H](Cc8ccc(O)cc8)N(C)C(=O)CCc9ccc(O)cc9)N(C)C)c1	CHEMBL540192	pKi=7.57
COc1ccc(c(OC)c1)S(=O)(=O)N2C(=O)[C@@](N3C[C@H](O)C[C@H]3C(=O)N(C)C)(c4cc(Cl)ccc24)c5nccnc5OC	CHEMBL1779403	pKi=7.59
Clc1cccc(c1)C2=Nc3ccc(OCCCN4CCOCC4)cc3C(=O)N2CC(=O)NC5CC5	CHEMBL1684560	pIC50=7.59
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H]1CCCN1C(=O)[C@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H](Cc4ccccc4)C(=O)NCC(=O)N[C@H](CC(=O)N)C(=O)N2	CHEMBL80877	pKi=7.64
COc1ccc(cc1)S(=O)(=O)N2C(=O)[C@](N3CCC[C@H]3c4occn4)(c5cccnc5OC)c6cc(Cl)ccc26	CHEMBL1779416	pKi=7.7
CC(C)NC(=O)CN1C(=O)c2cc(ccc2N=C1c3cccc(Cl)c3)c4cccc(CN(C)C)c4	CHEMBL1778951	pIC50=7.72
COc1cccc(c1)C2=Nc3ccc(OCCCN4CCCCC4)cc3C(=O)N2CC(=O)NC5CC5	CHEMBL1684571	pIC50=7.77
COc1cccc(c1)C2=Nc3ccc(OCCCN4CCOCC4)cc3C(=O)N2CC(=O)NCC5CC5	CHEMBL1684408	pIC50=7.82
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N[C@@H](CC(=O)N)C(=O)N2	CHEMBL2369842	pKi=7.83
NCC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N	CHEMBL2369834	pKi=7.89
NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)N	CHEMBL1429	pEC50=7.96
NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CSSCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4ccccc4)C(=O)N[C@@H](Cc5ccccc5)C(=O)N[C@@H](CC(=O)N)C(=O)N2	CHEMBL2369847	pKi=8.02
