[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
CCn1c(c(C)c2ccccc12)c3ccc(OC)cc3	CHEMBL3104263	pIC50=5.0
N[C@@H](C[C@@H](CC(=C)Cl)C(=O)O)C(=O)O	CHEMBL299449	pKi=5.08
CCCCCC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL62053	pKi=5.14
N[C@@H](C[C@@H](C\C=C\c1ccc(Br)cc1)C(=O)O)C(=O)O	CHEMBL301915	pKi=5.14
OC(=O)C[C@H]1[C@@H](CN[C@@H]1C(=O)O)C(=C)c2ccccc2	CHEMBL121194	pKi=5.16
CCn1c(cc2cc(OC)ccc12)c3ccccc3	CHEMBL3104262	pIC50=5.17
COc1cccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)c1	CHEMBL305346	pKi=5.2
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CNCCCc4ccccc4)c3)[N+](=O)[O-]	CHEMBL429540	pKi=5.21
CCn1c(c(C)c2cc(OC)ccc12)c3ccccc3	CHEMBL3104264	pIC50=5.22
CSc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1	CHEMBL300368	pKi=5.22
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(c3)C(=O)O)[N+](=O)[O-]	CHEMBL293613	pKi=5.24
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)c2ccccc2)C(=O)O)C(=O)O	CHEMBL292896	pKi=5.25
C\C=C/C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL61307	pKi=5.27
N[C@@H](C[C@@H](C\C=C\c1ccc(Cl)cc1)C(=O)O)C(=O)O	CHEMBL58590	pKi=5.33
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)C#N)C(=O)O)C(=O)O	CHEMBL293829	pKi=5.35
