CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(OC(F)(F)F)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3729152	pKi=7.8
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc4N(C)C(=O)CCc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3729890	pKi=7.8
Cl.CC#CCN1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3730582	pKi=7.8
CON1C(=NC2=C(CN(CC2)C(=O)C3=CC4=CCCC=C4S3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3728776	pKi=7.82
CON1C(=NC2=C(CN(CC2)C(=O)COc3ccc(Cl)cc3)C1=O)N[C@H](C)c4ccc(Cl)cc4	CHEMBL3729222	pKi=7.82
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(Cl)s3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3731855	pKi=7.82
Cl.CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3F)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3732204	pKi=7.82
CON1C(=NC2=C(CN(CC2)C(=O)c3oc4ccc(OC)cc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3730213	pKi=7.85
CON1C(=NC2=C(CN(CC2)C(=O)c3cc4ccccn4n3)C1=O)N[C@@H](C(C)C)c5ccc(Cl)cc5	CHEMBL3729755	pKi=7.89
CON1C(=NC2=C(CN(CC2)C(=O)\C=C\c3ccc(Cl)cc3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3732397	pKi=7.92
CON1C(=NC2=C(CN(CC2)C(=O)c3oc4ccc(Cl)cc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3730415	pKi=7.92
CCON1C(=NC2=C(CN(CC2)C(=O)c3ccc(cc3)C#N)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3733203	pKi=7.96
CON1C(=NC2=C(CN(CC2)C(=O)c3cc4occc4n3C)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3732513	pKi=8.0
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc(C)s3)C1=O)N[C@@H](C)c4ccc(cc4)C(F)(F)F	CHEMBL3727443	pKi=8.0
CON1C(=NC2=C(CN(CC2)C(=O)c3ccc4OCCOc4c3)C1=O)N[C@@H](C)c5ccc(cc5)C(F)(F)F	CHEMBL3732440	pKi=8.0
C[C@H](NC1=NC2=C(CN(CC2)C(=O)c3ccc(cc3)C#N)C(=O)N1N4CCCC4)c5ccc(cc5)C(F)(F)F	CHEMBL3731175	pKi=8.0
