CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1	CHEMBL395110	pIC50=6.08
COc1ccc2C3=C(CCC(C)(C)O3)C(=O)C(=O)c2c1	CHEMBL2036880	pIC50=6.22
CC1(C)CCC2=C(O1)c3ccc(cc3C(=O)C2=O)[N+](=O)[O-]	CHEMBL3632807	pIC50=6.4
CC(C)c1c(NC(=O)Nc2cnc(N3CCCS3(=O)=O)c(c2)C(F)(F)F)cnc4cc(Cl)nn14	CHEMBL3805576	pIC50=9.61
CC(C)c1c(NC(=O)Nc2ccc(c(Cl)c2)n3cc(CN)cn3)cnc4cc(Cl)nn14	CHEMBL3806299	pIC50=9.87
FC(F)(F)c1cc(NC(=O)Nc2cnc3cc(Cl)nn3c2C4CCCO4)cnc1n5nccn5	CHEMBL3806235	pIC50=10.03
CO[C@@H](C)c1c(NC(=O)Nc2cncc(c2)C(F)(F)F)cnc3cc(C)nn13	CHEMBL3806279	pIC50=10.28
COCC(C1CC1)c2c(NC(=O)Nc3cnc(c(Cl)c3)n4nccn4)cnc5cc(Cl)nn25	CHEMBL3805390	pIC50=10.55
CO[C@@H](C)c1c(NC(=O)Nc2cnc(c(c2)C(F)(F)F)n3nccn3)cnc4cc(Cl)nn14	CHEMBL3806155	pIC50=10.64
