O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC(F)(F)F	CHEMBL3674832	pIC50=6.48
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC(F)F	CHEMBL3674836	pIC50=6.48
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)n4	CHEMBL3674931	pIC50=6.48
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4nc5ccccc5s4	CHEMBL3684561	pIC50=6.48
Cc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669789	pIC50=6.48
O=C1C(C(C2CCCCC2)N(C1=O)c3ccc(cc3)c4ccon4)S(=O)(=O)c5ccccc5	CHEMBL3679748	pIC50=6.48
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccn4	CHEMBL3669855	pIC50=6.49
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscn4	CHEMBL3674922	pIC50=6.49
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)C(=O)C	CHEMBL3684570	pIC50=6.49
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5onc(C)c5	CHEMBL3684598	pIC50=6.49
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC(F)F	CHEMBL3674831	pIC50=6.5
CCOC(=O)c1ccc(cc1)N2C(C(C(=O)C(C)(C)C)C(=O)C2=O)c3ccccc3OC	CHEMBL3669694	pIC50=6.5
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)N(C)C	CHEMBL3679862	pIC50=6.5
Cc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4occc4	CHEMBL3669788	pIC50=6.5
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCCO	CHEMBL3674841	pIC50=6.51
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)C4=NCCS4	CHEMBL3674919	pIC50=6.51
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(F)(F)F)c4ccc(cc4)c5ccon5	CHEMBL3684567	pIC50=6.51
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4cccc(c4)C(F)(F)F	CHEMBL3643304	pIC50=6.52
CNC(=O)c1n[nH]c2C(=O)N(C(c3ccccc3OC)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684591	pIC50=6.52
COc1cccc(c1)C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674805	pIC50=6.52
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cc[nH]c4	CHEMBL3669752	pIC50=6.52
COc1ccccc1C2C(C(=O)C(C)(C)CO)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3669736	pIC50=6.52
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(CO)CO)c4ccc(cc4)c5ccon5	CHEMBL3684655	pIC50=6.52
COc1ccccc1C2C(C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4)S(=O)(=O)C(C)C	CHEMBL3679733	pIC50=6.54
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csnn4	CHEMBL3679794	pIC50=6.54
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OCCO	CHEMBL3669830	pIC50=6.55
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)N(C)C	CHEMBL3679833	pIC50=6.55
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669767	pIC50=6.55
COc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3674850	pIC50=6.55
COCCOCc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684670	pIC50=6.56
COCc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3669728	pIC50=6.56
COc1ccc(cc1)S(=O)(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5noc(C)n5	CHEMBL3679820	pIC50=6.56
COc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674838	pIC50=6.56
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3674816	pIC50=6.57
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)C4=NCCS4	CHEMBL3674921	pIC50=6.57
COc1cc(F)ccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669704	pIC50=6.57
Cc1ccc(nc1)N2CCc3ncnc(NC(CO)c4cccnc4)c3C2	CHEMBL3643346	pIC50=6.57
COc1ccccc1C2N(C(=O)c3[nH]nc(C(=O)N(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3684590	pIC50=6.58
CCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669733	pIC50=6.59
CN(C)C(=O)c1ccccc1C2C(C(=O)CC(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3679732	pIC50=6.59
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscn4	CHEMBL3674926	pIC50=6.59
CCN(C)C(=O)c1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679834	pIC50=6.6
COCCN(C)C(=O)c1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679844	pIC50=6.6
COCCOc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3679811	pIC50=6.6
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3674891	pIC50=6.6
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674833	pIC50=6.6
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4ccon4)c5ccc(Br)cc5OC	CHEMBL3669779	pIC50=6.6
CC(C)(C)C(=O)C1=C(O)C(=O)N(C1c2cccc[n+]2[O-])c3ccc(cc3)c4ccon4	CHEMBL3669698	pIC50=6.61
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccc4OCOc34)c12)c5ccc(cc5)c6ccon6	CHEMBL3679858	pIC50=6.61
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(F)F	CHEMBL3674814	pIC50=6.61
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(cc4)C(F)(F)F	CHEMBL3643320	pIC50=6.61
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(cc4)c5noc(C)n5	CHEMBL3684673	pIC50=6.61
COCc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(SC(F)(F)F)cc3	CHEMBL3674951	pIC50=6.61
CSc1ccc(cc1)N2C(C(C(=O)C(C)C)C(=O)C2=O)c3ccccc3OCC#N	CHEMBL3679775	pIC50=6.61
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)OC(C)C	CHEMBL3679770	pIC50=6.62
CCC(CC)C1C(C(=O)c2ccc(cc2)C(=O)N(C)C)C(=O)C(=O)N1c3ccc(cc3)c4noc(C)n4	CHEMBL3669695	pIC50=6.62
CCOCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3639786	pIC50=6.62
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(Br)cc4	CHEMBL3684617	pIC50=6.62
Cc1nc(N=Nc2ccc(cc2S(=O)(=O)O)S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O	CHEMBL69234	pIC50=6.62
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4cccnc4OCC(=O)O	CHEMBL3669834	pIC50=6.63
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)NN(C)C	CHEMBL3679835	pIC50=6.63
CCNC(=O)c1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679793	pIC50=6.63
CNC(=O)COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679921	pIC50=6.63
COCCOc1ccccc1[C@H]2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cocc4	CHEMBL3669845	pIC50=6.63
CC(C)(C)c1[nH]nc2C(=O)N(C(c3cccnc3OCCO)c12)c4ccc(cc4)c5ccon5	CHEMBL3679887	pIC50=6.64
CC(C)Oc1ccccc1C2N(C(=O)C(=O)/C/2=C(/C)\C(C)C)c3ccc(cc3)c4onc(C)n4	CHEMBL3674935	pIC50=6.64
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc4sc(C)nc4c3	CHEMBL3674900	pIC50=6.64
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OC(F)(F)F	CHEMBL3674837	pIC50=6.65
CCc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679949	pIC50=6.65
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)C(F)(F)F	CHEMBL3679940	pIC50=6.65
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)C5=NCCS5	CHEMBL3684599	pIC50=6.65
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(F)(F)F	CHEMBL3674815	pIC50=6.66
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4CC(=O)N5CCCC5	CHEMBL3679790	pIC50=6.66
COCCN(C)C(=O)c1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)c4	CHEMBL3679808	pIC50=6.66
COCCOc1ncccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3679751	pIC50=6.66
COCc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684552	pIC50=6.66
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(SC(F)(F)F)cc3	CHEMBL3669725	pIC50=6.66
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(OC(C)C)cc4	CHEMBL3679855	pIC50=6.66
C[S+]([O-])CCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669798	pIC50=6.66
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4C(=O)N5CCOCC5	CHEMBL3679810	pIC50=6.67
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(Br)cc4	CHEMBL3643322	pIC50=6.67
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccncc4	CHEMBL3643309	pIC50=6.67
COC(=O)COCc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccsc5	CHEMBL3684554	pIC50=6.67
COC(=O)c1cc(ccc1c2ccsc2)N3C(c4ccccc4OC)c5c([nH]nc5C3=O)C(C)C	CHEMBL3684640	pIC50=6.67
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cc[nH]c4	CHEMBL3669799	pIC50=6.67
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc4c(cc(C)n4C)c3	CHEMBL3674868	pIC50=6.68
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csnn4	CHEMBL3679795	pIC50=6.69
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c(C)c4)c5ccsc5	CHEMBL3684638	pIC50=6.69
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(F)(F)F	CHEMBL3674826	pIC50=6.71
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3onc(C)c3)c4ccccc4OC(C)C	CHEMBL3674885	pIC50=6.71
CN\C(=C/1\C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)C4=CC=CNC4=O)\C(C)C	CHEMBL3674777	pIC50=6.71
COc1ccccc1C2C3C(=O)C(C)(C)COC3(O)C(=O)N2c4ccc(cn4)c5ccsc5	CHEMBL3669753	pIC50=6.71
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5nccs5	CHEMBL3684600	pIC50=6.71
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cc[nH]c3)c4ccccc4OCCO	CHEMBL3669800	pIC50=6.72
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OC(F)(F)F	CHEMBL3674893	pIC50=6.72
CC(C)c1[nH]nc2C(=O)N(C(c3ccccc3N)c12)c4ccc(cc4)c5ccsc5	CHEMBL3679925	pIC50=6.72
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscn4	CHEMBL3674927	pIC50=6.72
COc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(nc3)c4ccsc4	CHEMBL3669759	pIC50=6.72
CC(C)OCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)n4	CHEMBL3679813	pIC50=6.73
COc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3669729	pIC50=6.73
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c(O)c3)c4ccsc4	CHEMBL3674766	pIC50=6.73
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3679741	pIC50=6.74
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cscn4	CHEMBL3674923	pIC50=6.74
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3674827	pIC50=6.74
COc1ccc(cc1)[C@@H](C)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643330	pIC50=6.74
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3679739	pIC50=6.74
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4C(=O)N(C)C	CHEMBL3674917	pIC50=6.75
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCCCO	CHEMBL3674947	pIC50=6.76
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCC#N	CHEMBL3679776	pIC50=6.76
COCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674796	pIC50=6.76
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4cccnc4C(=O)N	CHEMBL3679831	pIC50=6.77
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OC(F)(F)F)c12)c4ccc(cc4)c5ccon5	CHEMBL3679910	pIC50=6.78
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4C(=O)N(C)CCO	CHEMBL3679842	pIC50=6.78
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4N5CCOCC5	CHEMBL3679753	pIC50=6.78
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4C(=O)N5CCOCC5	CHEMBL3679771	pIC50=6.78
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4C(=O)O	CHEMBL3669823	pIC50=6.79
Cc1ccc(nc1)N2CCc3ncnc(N[C@H](CO)c4ccccc4)c3C2	CHEMBL3643326	pIC50=6.79
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4C(=O)N(C)CCO	CHEMBL3679843	pIC50=6.8
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(F)F	CHEMBL3674825	pIC50=6.8
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4nccs4)c5ccccc5OC	CHEMBL3669714	pIC50=6.8
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4onc(C)n4)c5ccccc5OC	CHEMBL3669717	pIC50=6.8
COc1ccccc1C2C(C(=O)c3occc3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3669847	pIC50=6.8
CSc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccon4	CHEMBL3669731	pIC50=6.8
Cc1ccc(nc1)N2CCc3ncnc(N[C@H](CO)c4ccc(cc4)C(F)(F)F)c3C2	CHEMBL3643339	pIC50=6.8
Cc1noc(n1)c2ccc(cc2)N3C(c4ccccc4OCCO)c5c(n[nH]c5C(C)(C)C)C3=O	CHEMBL3679867	pIC50=6.8
COCCCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3679757	pIC50=6.81
COCCOc1ccccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)n4	CHEMBL3669776	pIC50=6.81
COc1ccccc1C2N(C(=O)c3[nH]nc(C(=O)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3684596	pIC50=6.81
CC(C)(C)c1[nH]nc2C(=O)N(C(c3ccccc3OCC(=O)N)c12)c4ccc(cc4)c5ccon5	CHEMBL3679919	pIC50=6.82
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4ccccc4C(=O)N(C)C	CHEMBL3674934	pIC50=6.82
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCCCO	CHEMBL3674948	pIC50=6.82
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)C4=NCCS4	CHEMBL3674918	pIC50=6.82
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c5ccsc5)c(c4)C(=O)N	CHEMBL3684641	pIC50=6.82
COc1ccccc1C2N(Cc3n[nH]c(C(C)C)c23)c4ccc(cc4)c5ccsc5	CHEMBL3679913	pIC50=6.82
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(nc4)c5occc5	CHEMBL3684666	pIC50=6.82
CSc1ccc(cc1)N2C(C(C(=O)C(C)(C)C)C(=O)C2=O)c3ccccc3OCCO	CHEMBL3669744	pIC50=6.82
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccc(C)s3)c4ccccc4OC(F)(F)F	CHEMBL3639737	pIC50=6.83
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3csc(C)c3)c4ccccc4OC(F)F	CHEMBL3674892	pIC50=6.83
COc1ccccc1C2N(C(=O)c3[nH]nc(c4occc4)c23)c5ccc(cc5)c6ccsc6	CHEMBL3684589	pIC50=6.83
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5noc(C)n5	CHEMBL3684559	pIC50=6.83
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(s3)c4ccccc4	CHEMBL3674804	pIC50=6.84
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c5ccsc5)c(c4)N(C)C	CHEMBL3684643	pIC50=6.84
Cc1nc(Cc2cccc3ccccc23)c(\C=C\C(=O)O)c(C=O)c1O	CHEMBL3091628	pIC50=6.84
CCOCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)n4	CHEMBL3679806	pIC50=6.85
COCCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)CO)c4ccc(cc4)c5ccon5	CHEMBL3639834	pIC50=6.85
COc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)C(C)(C)C	CHEMBL3679856	pIC50=6.85
COc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cn4)c5cocc5	CHEMBL3684657	pIC50=6.85
Cc1ccc(nc1)N2CCc3ncnc(NC(CCO)c4ccccc4)c3C2	CHEMBL3643323	pIC50=6.85
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(F)F	CHEMBL3669734	pIC50=6.86
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3occc3)c4cccnc4OCCO	CHEMBL3669815	pIC50=6.86
CN(C)C(=O)c1ccccc1C2C(C(=O)C3CCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccsc5	CHEMBL3679780	pIC50=6.86
CN(C)c1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3684547	pIC50=6.86
COc1ccccc1C(C)Nc2ncnc3CCN(Cc23)c4ccc(C)cn4	CHEMBL3643314	pIC50=6.86
COc1ccccc1C2N(C(=O)c3n[nH]c(C(C)C)c23)c4ccc(c(CO)c4)c5ccsc5	CHEMBL3684642	pIC50=6.86
COc1ccc(cc1)C(=O)C2C(C3CCCCC3)N(C(=O)C2=O)c4ccc(cc4)c5cccn5C	CHEMBL3669706	pIC50=6.87
COc1ccccc1C2N(C(=O)C(=C2C(=O)C(C)(C)C)N)c3ccc(cc3)c4ccon4	CHEMBL3669755	pIC50=6.87
COc1ccccc1C2N(C(=O)c3[nH]nc(c23)C(C)(C)COC(=O)C)c4ccc(SC)cc4	CHEMBL3679861	pIC50=6.87
COc1ccccc1C2N(C(=O)c3c2c(nn3C(=O)OC(C)(C)C)C(C)(C)C)c4ccc(Br)cc4	CHEMBL3684616	pIC50=6.87
CC(C)(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4ccccc4OC(F)(F)F	CHEMBL3669708	pIC50=6.88
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4ccccc4OCC#N	CHEMBL3679774	pIC50=6.88
CC(C)(CO)c1[nH]nc2C(=O)N(C(c3ccccn3)c12)c4ccc(cc4)c5ccsc5	CHEMBL3684633	pIC50=6.89
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(SC(F)(F)F)cc2)c3ccccc3OC(C)C	CHEMBL3674950	pIC50=6.89
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccc(cc4)S(=O)(=O)C	CHEMBL3643305	pIC50=6.89
CN(C)CCOc1ccccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679881	pIC50=6.89
COCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674834	pIC50=6.89
COc1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674810	pIC50=6.89
CC(C)CC(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccsc3)c4ccccc4C(F)(F)F	CHEMBL3674811	pIC50=6.9
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccccc4Cl	CHEMBL3643315	pIC50=6.9
COCCOc1ncccc1C2C(C(=O)CC(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3674965	pIC50=6.9
COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(SC)cc3	CHEMBL3674937	pIC50=6.9
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3cocc3)c4cccnc4OCCO	CHEMBL3674760	pIC50=6.91
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3oc(C)cc3)c4ccccc4C(=O)N(C)C	CHEMBL3674907	pIC50=6.91
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4ccccn4	CHEMBL3643310	pIC50=6.91
CNC(=O)c1ncccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccc(C)s4	CHEMBL3679832	pIC50=6.91
COc1ccc(cc1)C2(CC2)c3[nH]nc4C(=O)N(C(c5ccccc5OC)c34)c6ccc(cc6)c7ccon7	CHEMBL3684605	pIC50=6.91
CC(C)NC(=O)CCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4oc(C)cc4	CHEMBL3679800	pIC50=6.92
CC(Nc1ncnc2CCN(Cc12)c3ccc(C)cn3)c4cccc(Cl)c4	CHEMBL3643316	pIC50=6.92
COCCOCc1ncccc1C2C(C(=O)C(C)(C)C)C(=O)C(=O)N2c3ccc(cc3)c4ccsc4	CHEMBL3669811	pIC50=6.92
COCOc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674829	pIC50=6.92
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3674797	pIC50=6.93
COCCOc1ncccc1C2N(C(=O)c3n[nH]c(c23)C(C)(C)C)c4ccc(cc4)c5ccon5	CHEMBL3679884	pIC50=6.93
