O=C(N1CCCCC1)N2c3ccccc3C=Cc4ccccc24	CHEMBL3103371	pIC50=5.1
Cc1nc(NC(=O)c2ccccc2)c(C(=O)O)c(C(=O)O)c1O	CHEMBL3091625	pIC50=6.14
CC(C)NC(=O)CCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4noc(C)n4	CHEMBL3679852	pIC50=6.15
COc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(c(N)c3)c4ccsc4	CHEMBL3674764	pIC50=6.15
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3noc(C)n3)c4cccnc4N5CCOCC5	CHEMBL3679788	pIC50=6.16
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4cc(C)on4	CHEMBL3674960	pIC50=6.16
COCc1ccccc1C2C(C(=O)C(C)C)C(=O)C(=O)N2c3ccc(cc3)c4csc(C)n4	CHEMBL3674930	pIC50=6.16
COc1ccc(cc1)C(=O)C2C(N(C(=O)C2=O)c3ccc(cc3)c4cccnc4)c5ccccc5OC	CHEMBL3669719	pIC50=6.16
COc1ccccc1C2C(C(=O)C3(CO)CCCCC3)C(=O)C(=O)N2c4ccc(cc4)c5ccon5	CHEMBL3669716	pIC50=6.16
Cc1onc(n1)c2ccc(cc2)N3C(C(C(=O)C(C)(C)C)C(=O)C3=O)c4ccccc4OCCO	CHEMBL3669747	pIC50=6.16
CCOC(=O)C1C(C(=O)C(C)C)C(=O)C(=O)N1c2ccc(cc2)c3ccsc3	CHEMBL3669852	pIC50=6.17
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4coc(C)n4	CHEMBL3674901	pIC50=6.17
COCCOc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)c4	CHEMBL3674862	pIC50=6.17
CC(C)C(=O)C1=C(O)C(=O)N(C1c2ccccc2N3CCCC3=O)c4ccc(cc4)c5noc(C)n5	CHEMBL3684675	pIC50=6.18
CC(C)C(=O)C1C(N(C(=O)C1=O)c2ccc(cc2)c3ccon3)c4cccnc4OCCO	CHEMBL3669819	pIC50=6.18
